company,avg
monolithpictures,29816472.666666668
reperage,44671332.5
touchwoodpacificpartners,89325780.0
thisisthat,14887612.166666666
3intheboxproductions,22271520.25
millargoughink,44533009.0
stevenreuther,88915214.0
wildwoodenterprises,14700785.833333334
ilionanimationstudios,43705426.5
macromedia,14530411.333333334
herculesfilmfund,17386113.4
bordscannannaheireann,2554301.911764706
paramountplayers,14387502.166666666
fieryangel,86300000.0
zerogravitymanagement,17252009.0
lightworkersmedia,43055270.5
marcymedia,42955631.0
anarchosproductions,42802701.0
cinetic,17021880.8
innisfreepictures,85080171.0
electricentertainment,7701356.0
cityonahillstudio,42244021.5
riverstonepictures,6490866.461538462
dwstudios,83823381.0
furiadetitanesiiaie,83670083.0
unitedartisticgroup,41819821.0
erwinbrothersentertainment,83482352.0
southwestfilmgroup,83482352.0
essentialmediaandentertainment,83299761.0
achtebabelsbergfilm,83107829.0
argentpictures,10383897.625
lisastewart,83028130.0
virtualstudios,41481300.5
silverreelentertainment,4868214.94117647
donsimpsonandjerrybruckheimer,82670733.0
littleblairproductions,82624961.0
osirisfilms,82522790.0
3passtudios,41232763.5
lukegreenfield,82390774.0
laurenlevine,82234139.0
halliebermancompany,82234139.0
timnickfilm,40899799.0
prospectpark,40781471.0
mccormic,81464486.0
propagandafilms,20224281.5
talisman,40417306.5
fortisfilms,40356730.5
fundamentalfilms,11465071.57142857
blackwhite,80197993.0
roadsideattractions,4716191.411764706
conspiracyfactory,80101125.0
secrethideout,80101125.0
garylucchesi,40035929.5
mandalayentertainment,39950440.5
manyrivers,79249455.0
boyoftheyear,79249455.0
scooterbraunfilms,39610238.0
clinicaestetico,15807857.0
trilogyentertainmentgroup,39451587.0
enigmaproductions,39388081.0
filmcroppersentertainment,78765986.0
tigermothproductions,78716374.0
insurgepictures,26196338.666666668
cocktailproductions,78222753.0
wheelhouseentertainment,39062429.5
merchantivoryproductions,7098783.7272727275
newrepublicpictures,77984434.0
albertogrimaldi,77730500.0
shuler,77698625.0
faceproductions,77267296.0
stephenjcannell,77222099.0
topcow,77222099.0
worldviewentertainment,3509178.8181818184
france2cinema,904966.2235294117
martinstarger,76657000.0
lordgrade,76657000.0
strangeangelsproductions,38238460.5
toddgarner,76423035.0
pinkmachine,76423035.0
trainingdayproductions,76261036.0
avisdavis,75802010.0
gordoncompany,37895377.0
junepictures,18944786.75
bigedpicturecompany,75764085.0
perdido,15151459.6
boomstudios,37806230.0
oasisventuresentertainmentltd,75612460.0
revelationsentertainment,12586042.0
eastlightfilm,37750318.0
cgfilms,75468583.0
cristalpictures,75468583.0
wayfareentertainment,18856961.5
nuyorican,25096097.333333332
billmechanic,75286229.0
elcorazonproducciones,75078260.0
rvk,24975760.333333332
lorenzodibonaventura,37442306.0
unioninvestmentpartners,9332284.0
bimdistribuzione,10656951.714285715
sodec,10648638.42857143
wyolahfilms,24809865.0
phase1productions,74058698.0
geffenfilm,73839613.0
scionfilms,7381511.3
imagistudios,36850082.5
robertzemeckis,73661010.0
deepblueltd,73648228.0
thefilmdepartment,36683869.0
jimmorris,73058679.0
lareidmedia,73013910.0
vinsonpictures,18229119.25
patheofacloudeight,24244910.333333332
pacificstandard,24153519.0
afterworkslimited,72313754.0
themichaeljacksoncompany,72091016.0
bernardgayleproductions,72013010.0
daviddobkinpictures,72006777.0
jessienelsonproductions,72006777.0
elementpictures,4477490.8125
demilo,71628180.0
toma78,71628180.0
matthewvaughn,23776164.0
panayfilms,23761431.333333332
badhamcohen,70978012.0
nationalgeographicentertainment,7885342.222222222
film360,17731166.25
blackmaled,70525195.0
camelotpictures,23484227.666666668
akitmanho,70405498.0
newdeal,70327868.0
michaelshamberg,70278893.0
staceysher,70278893.0
deepriverfilms,35133104.5
akitmanhoixlan,70001698.0
safehousepictures,13999938.8
stonevillage,17383747.25
maninatreeproductions,34744372.5
finoladwyerproductions,17324840.25
cave76,34568119.5
preludepictures,69117629.0
irwinallenproductions,69117629.0
babyway,23019370.0
baldwinentertainmentgroup,68671925.0
jklivinproductions,68671925.0
endeavorfilms,13722197.0
sinequanon,68566296.0
battlemountainfilms,17096599.75
ocs,4018287.705882353
reelfx,34131671.0
ghoulardifilmcompany,17001828.5
dejproductions,33961836.5
faithstepfilms,33895058.5
ecossefilms,7518452.333333333
orionpictures,2941730.7391304346
lionbrandfilm,67436818.0
twogrownmenproductions,67363237.0
greymatter,33634417.5
anthonybregman,33426482.5
aifilm,9508928.285714285
blueeyes,33266057.5
parallelzide,66477700.0
makemovies,66380662.0
gramercypictures,11058118.333333334
zuckerpictures,33073957.0
polygrampictures,22015189.0
tinasinatra,65948711.0
rainmakerentertainment,16456596.75
avironpictures,13065966.6
bryansinger,65187603.0
goldmanpictures,64935167.0
ministryofculture,64251538.0
sportsandtourismoftherepublicofkorea,64251538.0
redrover,64251538.0
koreansmallandmediumbusinessadministration,64251538.0
